positions_id,positions_decoding,positions_name,positions_aliases,positions_category,positions_subcategory,positions_type,positions_variation,positions_direction,positions_configuration,positions_inclination
277,Fowler (High) ⟮-⟯ [Bent Knees] ⟨-⟩ ⧼Sitting⧽,Bent Knees High Fowler,,Sitting,,Fowler,High,-,Bent Knees,-
279,Fowler (Low) ⟮-⟯ [Bent Knees] ⟨-⟩ ⧼Sitting⧽,Bent Knees Low Fowler,,Sitting,,Fowler,Low,-,Bent Knees,-
278,Fowler (Semi) ⟮-⟯ [Bent Knees] ⟨-⟩ ⧼Sitting⧽,Bent Knees Semi Fowler,,Sitting,,Fowler,Semi,-,Bent Knees,-
329,Big Toe (Hold) ⟮-⟯ [-] ⟨-⟩ ⧼Balancing⧽,Big Toe Hold,"Utthita Hastapadangusthasana, उत्थित हस्तपादाङ्गुष्ठासन, Standing Big Toe Hold",Balancing,,Big Toe,Hold,-,-,-
317,Big Toe (-) ⟮-⟯ [Supine] ⟨-⟩ ⧼Lying⧽,Big Toe Supine,"Supta Padangusthasana, सुप्त पादाङ्गुष्ठासन",Lying,,Big Toe,-,Supine,-,-
364,Boat (-) ⟮-⟯ [-] ⟨-⟩ ⧼Balancing⧽,Boat,"Navasana, Naukasana, नावासन, परिपूर्णनावासन नौकासन",Balancing,,Boat,-,-,-,-
339,Bow (-) ⟮Prone⟯ [-] ⟨-⟩ ⧼Lying⧽,Bow,"Dhanurasana, धनुरासन",Lying,,Bow,-,Prone,-,-
122,Bowing (-) ⟮-⟯ [-] ⟨-⟩ ⧼Bending⧽,Bowing,,Bending,Gesture,Bowing,-,-,-,-
13,Bridge (-) ⟮-⟯ [-] ⟨-⟩ ⧼Inversion⧽,Bridge,"Shoulder Supported Bridge, Setu Bandha Sarvangasana, सेतुबन्धसर्वाङ्गासन",Inversion,,Bridge,-,-,-,-
100,Butterfly (-) ⟮-⟯ [-] ⟨-⟩ ⧼Sitting⧽,Butterfly,"Cobbler's Pose, Bound Angle, Baddha Konasana, Bhadrasana, बद्धकोणासन",Sitting,Meditation,Butterfly,-,-,-,-
327,Camel (-) ⟮-⟯ [-] ⟨-⟩ ⧼Kneeling⧽,Camel,"Ushtrasana, उष्ट्रासन",Kneeling,,Camel,-,-,-,-
336,Cat (-) ⟮-⟯ [-] ⟨-⟩ ⧼Crawling⧽,Cat,"Bidalasana, Marjariasana, बिडालासन, मार्जरीआसन",Crawling,,Cat,-,-,-,-
98,Caterpillar (-) ⟮Prone⟯ [-] ⟨-⟩ ⧼Lying⧽,Caterpillar,"Eight-Limbed Salutation, Ashtanga Namaskara, अष्टाङ्ग नमस्कार",Lying,,Caterpillar,-,Prone,-,-
330,Child (-) ⟮-⟯ [-] ⟨-⟩ ⧼Kneeling⧽,Child,"Child's, Balasana, बालासन",Kneeling,,Child,-,-,-,-
334,Cobra (-) ⟮Prone⟯ [-] ⟨-⟩ ⧼Lying⧽,Cobra,"Seal, Sphinx, Bhujangasana, भुजंगासन",Lying,,Cobra,-,Prone,-,-
353,Cockerel (-) ⟮-⟯ [-] ⟨-⟩ ⧼Balancing⧽,Cockerel,"Kukkutasana, कुक्कुटासन",Balancing,,Cockerel,-,-,-,-
160,Bridge (-) ⟮-⟯ [Contrapposto] ⟨-⟩ ⧼Inversion⧽,Contrapposto Bridge,,Inversion,,Bridge,-,-,Contrapposto,-
