id,decoding,title,aliases,categories,subcategories,types,variations,directions,configurations,inclinations,source
369,Thrust (-) ⟮Horizontal⟯ [1 Leg] ⟨-⟩ ⧼Leaning⧽,1 Leg Horizontal Thrust,,Leaning,,Thrust,-,Horizontal,1 Leg,-,../Body Positions/1 Leg Horizontal Thrust
199,"Plank (-) ⟮-⟯ [1 Leg, Kneeling] ⟨-⟩ ⧼Crawling⧽",1 Leg Kneeling Plank,,Crawling,,Plank,Knee,-,"1 Leg, Kneeling",-,../Body Positions/1 Leg Kneeling Plank
220,Plank (Low) ⟮-⟯ [1 Leg] ⟨-⟩ ⧼Crawling⧽,1 Leg Low Plank,,Crawling,,Plank,Low,-,1 Leg,-,../Body Positions/1 Leg Low Plank
192,Squatting (Partial) ⟮-⟯ [1 Leg] ⟨-⟩ ⧼Squatting⧽,1 Leg Partial Squatting,,Squatting,,Squatting,Partial,-,1 Leg,-,../Body Positions/1 Leg Partial Squatting
202,Plank (-) ⟮-⟯ [1 Leg] ⟨-⟩ ⧼Crawling⧽,1 Leg Plank,,Crawling,,Plank,-,-,1 Leg,-,../Body Positions/1 Leg Plank
203,Table Top (-) ⟮Reverse⟯ [1 Leg] ⟨-⟩ ⧼Crawling⧽,1 Leg Reverse Table Top,,Crawling,,Table Top,-,Reverse,1 Leg,-,../Body Positions/1 Leg Reverse Table Top
66,Squatting (-) ⟮-⟯ [1 Leg] ⟨-⟩ ⧼Squatting⧽,1 Leg Squatting,,Squatting,,Squatting,-,-,1 Leg,-,../Body Positions/1 Leg Squatting
84,Standing (-) ⟮-⟯ [1 Leg] ⟨-⟩ ⧼Standing⧽,1 Leg Standing,,Standing,,Standing,-,-,1 Leg,-,../Body Positions/1 Leg Standing
130,Jumping (-) ⟮Vertical⟯ [1 Leg] ⟨-⟩ ⧼Suspended⧽,1 Leg Vertical Jumping,1 Leg Vertical Jump,Suspended,,Jumping,-,Vertical,1 Leg,-,../Body Positions/1 Leg Vertical Jumping
177,Kneeling (Vertical) ⟮-⟯ [1 Leg] ⟨-⟩ ⧼Kneeling⧽,1 Leg Vertical Kneeling,,Kneeling,,Kneeling,-,-,1 Leg,-,../Body Positions/1 Leg Vertical Kneeling
27,Crawling (-) ⟮-⟯ [2 Limbs] ⟨-⟩ ⧼Crawling⧽,2 Limbs Crawling,,Crawling,,Crawling,-,-,2 Limbs,-,../Body Positions/2 Limbs Crawling
227,Table Top (-) ⟮-⟯ [2 Limbs] ⟨-⟩ ⧼Crawling⧽,2 Limbs Table Top,,Crawling,,Table Top,-,-,2 Limbs,-,../Body Positions/2 Limbs Table Top
314,Accomplished (-) ⟮-⟯ [-] ⟨-⟩ ⧼Sitting⧽,Accomplished,"The Adept's Pose, Siddhasana, Siddha Yoni Asana, सिद्धासन",Sitting,Meditation,Accomplished,-,-,-,-,../Body Positions/Accomplished
92,Riding (Aerodynamic) ⟮-⟯ [-] ⟨-⟩ ⧼Straddling⧽,Aerodynamic Riding,,Straddling,,Riding,Aerodynamic,-,-,-,../Body Positions/Aerodynamic Riding
91,Riding (Aggressive) ⟮-⟯ [-] ⟨-⟩ ⧼Straddling⧽,Aggressive Riding,,Straddling,,Riding,Aggressive,-,-,-,../Body Positions/Aggressive Riding
95,Pose (Ananta's) ⟮Lateral⟯ [-] ⟨-⟩ ⧼Lying⧽,Ananta's Pose,"Vishnu's Couch Pose, Anantasana, अनन्तासन",Lying,Pose,Pose,Ananta's,Lateral,-,-,../Body Positions/Ananta's Pose
175,Anatomical (-) ⟮-⟯ [-] ⟨-⟩ ⧼Standing⧽,Anatomical,,Standing,,Anatomical,-,-,-,-,../Body Positions/Anatomical
10,Handstand (Arch) ⟮-⟯ [-] ⟨-⟩ ⧼Handstand⧽,Arch Handstand,,Balancing,,Handstand,Arch,-,-,-,../Body Positions/Arch Handstand
47,Archer (-) ⟮-⟯ [-] ⟨-⟩ ⧼Sitting⧽,Archer,"Shooting Bow, Bow and Arrow, Akarna Dhanurasana, आकर्णधनुरासन",Sitting,Split,Archer,-,-,-,-,../Body Positions/Archer
87,Athletic (-) ⟮-⟯ [-] ⟨-⟩ ⧼Bending⧽,Athletic,,Bending,,Athletic,-,-,-,-,../Body Positions/Athletic
115,Military (Attention) ⟮-⟯ [-] ⟨-⟩ ⧼Standing⧽,Attention Military,"Attention Soldier, At Attention, Attention",Standing,,Military,Attention,-,-,-,../Body Positions/Attention Military
319,Auspicious (-) ⟮-⟯ [-] ⟨-⟩ ⧼Sitting⧽,Auspicious,"Lucky Mark, Square, Svastikasana, स्वस्तिकसन",Sitting,Meditation,Auspicious,-,-,-,-,../Body Positions/Auspicious
328,Awkward (-) ⟮-⟯ [-] ⟨-⟩ ⧼Standing⧽,Awkward,"Powerful, Utkatasana, उत्कटासन",Standing,,Awkward,-,-,-,-,../Body Positions/Awkward
169,Bent (-) ⟮Backward⟯ [-] ⟨-⟩ ⧼Bending⧽,Backward Bent,,Bending,,Bent,-,Backward,-,-,../Body Positions/Backward Bent
191,Jumping (-) ⟮Backward⟯ [-] ⟨-⟩ ⧼Suspended⧽,Backward Jumping,,Suspended,,Jumping,-,Backward,-,-,../Body Positions/Backward Jumping
29,Leaning (-) ⟮Backward⟯ [-] ⟨-⟩ ⧼Leaning⧽,Backward Leaning,,Leaning,,Leaning,-,Backward,-,-,../Body Positions/Backward Leaning
248,Running (-) ⟮Backward⟯ [-] ⟨-⟩ ⧼Running⧽,Backward Running,,Running,,Running,-,Backward,-,-,../Body Positions/Backward Running
268,Kneeling (Sit) ⟮Backward⟯ [-] ⟨-⟩ ⧼Kneeling⧽,Backward Sit Kneeling,,Kneeling,,Kneeling,Sit,Backward,-,-,../Body Positions/Backward Sit Kneeling
249,Walking (-) ⟮Backward⟯ [-] ⟨-⟩ ⧼Walking⧽,Backward Walking,,Walking,,Walking,-,Backward,-,-,../Body Positions/Backward Walking
348,Twist (Belly) ⟮Supine⟯ [-] ⟨-⟩ ⧼Lying⧽,Belly Twist,"Jathara Parivartanasana, ञटर परिवर्तनासन",Lying,,Twist,Belly,Supine,-,-,../Body Positions/Belly Twist
76,Bent (-) ⟮-⟯ [-] ⟨-⟩ ⧼Bending⧽,Bent,Bent Over,Bending,,Bent,-,-,-,-,../Body Positions/Bent
277,Fowler (High) ⟮-⟯ [Bent Knees] ⟨-⟩ ⧼Sitting⧽,Bent Knees High Fowler,,Sitting,,Fowler,High,-,Bent Knees,-,../Body Positions/Bent Knees High Fowler
